PLACE12NM,POPCNT,DESCNM,CTY12CD,CTY12CDO,CTY12NM,NMD12CD,NMD12CDO,NMD12NM,UA12CD,UA12CDO,UA12NM,MD12CD,MD12CDO,MD12NM,LONB12CD,LONB12CDO,LONB12NM,WD12CD,WD12CDO,HLTH12CD,HLTH12CDO,HLTH12NM,REGD12CD,REGD12CDO,REGD12NM,GOR11CD,GOR11CDO,GOR11NM,NPARK12CD,NPARK12CDO,NPARK12NM,BUA11CD,PCON12CD,PCON12CDO,PCON12NM,EER12CD,EER12CDO,EER12NM,GRIDGB1,GRIDGB1E,GRIDGB1N,GRID1KM,PAR12CD,PAR12CDO
Woughton),,PAR,,,,,,,E06000042,00MG,Milton Keynes,,,,,,,,,E18000009,Q38,South Central,E28000085,326,Milton Keynes,E12000008,J,South East,,,,,E14000821,C94,Milton Keynes North,E15000008,8,South East,487056238102,487056,238102,SP8738,E04012227,00MG038
Old Woughton),,PAR,,,,,,,E06000042,00MG,Milton Keynes,,,,,,,,,E18000009,Q38,South Central,E28000085,326,Milton Keynes,E12000008,J,South East,,,,,E14000822,C95,Milton Keynes South,E15000008,8,South East,487556236786,487556,236786,SP8736,E04012226,00MG051
Great Ashby),,PAR,E10000015,26,Hertfordshire,E07000099,26UF,North Hertfordshire,,,,,,,,,,,,E18000006,Q35,East of England,E28000141,538,Hertfordshire,E12000006,G,East of England,,,,,E14000845,D19,North East Hertfordshire,E15000006,6,Eastern,526760226800,526760,226800,TL2626,E04012228,26UF036
Sutton Heath,,PAR,E10000029,42,Suffolk,E07000205,42UG,Suffolk Coastal,,,,,,,,,,,,E18000006,Q35,East of England,E28000213,748,Suffolk,E12000006,G,East of England,,,,,E14000981,E56,Suffolk Coastal,E15000006,6,Eastern,632410248165,632410,248165,TM3248,E04012221,42UG118
Sheet,,PAR,E10000014,24,Hampshire,E07000085,24UC,East Hampshire,,,,,,,,,,,,E18000009,Q38,South Central,E28000138,504,Hampshire,E12000008,J,South East,E26000010,16,South Downs National Park,,E14000680,B52,East Hampshire,E15000008,8,South East,475840124530,475840,124530,SU7524,E04012252,24UC040
Braunstone),,PAR,E10000018,31,Leicestershire,E07000129,31UB,Blaby,,,,,,,,,,,,E18000004,Q33,East Midlands,E28000154,605,Leicestershire,E12000004,E,East Midlands,,,,,E14000625,A96,Charnwood,E15000004,4,East Midlands,453963302912,453963,302912,SK5302,E04012264,31UB003
Clipstone,,PAR,E10000024,37,Nottinghamshire,E07000175,37UG,Newark and Sherwood,,,,,,,,,,,,E18000004,Q33,East Midlands,E28000217,692,Nottinghamshire,E12000004,E,East Midlands,,,,,E14000924,D98,Sherwood,E15000004,4,East Midlands,459028363350,459028,363350,SK5963,E04012262,37UG015
Ingol and Tanterton,,PAR,E10000017,30,Lancashire,E07000123,30UK,Preston,,,,,,,,,,,,E18000002,Q31,North West,E28000151,591,Lancashire,E12000002,B,North West,,,,,E14000885,D59,Preston,E15000002,2,North West,351146432039,351146,432039,SD5132,E04012217,30UK009
Burton Green,,PAR,E10000031,44,Warwickshire,E07000222,44UF,Warwick,,,,,,,,,,,,E18000005,Q34,West Midlands,E28000209,776,Warwickshire,E12000005,F,West Midlands,,,,,E14000767,C40,Kenilworth and Southam,E15000005,5,West Midlands,428144275750,428144,275750,SP2875,E04012230,44UF036
Matching),,PAR,E10000012,22,Essex,E07000072,22UH,Epping Forest,,,,,,,,,,,,E18000006,Q35,East of England,E28000210,463,Essex,E12000006,G,East of England,,,,,E14000594,A65,Brentwood and Ongar,E15000006,6,Eastern,553484210868,553484,210868,TL5310,E04012203,22UH011
